#{"t_start": 1782457997.8973854, "env_id": "None"}
r,l,t
-7.59581,850,1.47977
-65.017766,850,1.774679
-60.917863,850,4.590174
-18.689889,850,4.866573
-132.059126,850,5.990633
-31.924353,850,6.294314
-129.171704,850,6.588344
-14.195264,850,7.720761
-44.008749,850,8.003438
60.246831,850,9.137817
-29.789059,850,9.43672
-46.77618,850,9.970401
-29.543858,850,10.85691
31.012142,850,11.147944
-22.619875,850,12.278018
-60.378304,850,12.578408
-119.560035,850,13.720149
-87.483537,850,14.005313
-174.82446,850,14.513937
-50.094521,850,15.456007
-165.388819,850,15.750598
-1.672634,850,16.887908
77.851707,850,17.163432
-95.147825,850,17.712198
-68.103738,850,18.5842
-66.353526,850,19.115366
-50.112216,850,19.987234
-107.847718,850,20.283609
8.026471,850,21.422821
100.573529,850,21.696991
-105.118429,850,22.240622
