#{"t_start": 1782403902.407543, "env_id": "None"}
r,l,t
-332.390865,1222,0.384451
-276.609401,1222,2.740478
-339.148891,1222,3.125257
-233.895153,1222,5.489435
-366.080028,1222,7.40044
-330.8428,1222,8.325499
-408.525371,1222,10.678146
-262.256862,1222,11.061049
-338.969768,1222,13.459972
-348.458675,1222,15.312194
-256.289394,1222,16.215679
-309.934017,1222,18.617422
-222.283809,1222,18.999806
-414.117305,1222,21.350865
-224.306453,1222,23.192984
-196.406627,1222,24.093464
-187.83601,1222,26.462175
-244.294613,1222,26.844745
-287.729335,1222,29.268376
-425.28117,1222,31.108304
-362.608272,1222,32.060209
