#{"t_start": 1782404265.4132876, "env_id": "stocks-v0"}
r,l,t
3.187622,864,1.001819
121.684509,864,1.272599
49.545914,864,2.316343
-76.343704,864,2.590548
104.349976,864,3.606771
105.62149,864,3.879737
123.96933,864,4.377982
-45.294952,864,5.166511
20.490952,864,5.441437
115.846573,864,6.464243
100.126022,864,6.735226
82.04808,864,7.752222
144.969772,864,8.025316
67.522156,864,8.521739
69.653732,864,9.316375
170.201309,864,9.585223
175.661774,864,10.609031
195.187347,864,10.879279
111.765472,864,11.89663
110.758926,864,12.167999
86.84285,864,12.663994
79.327591,864,13.455384
38.298325,864,13.725428
