#{"t_start": 1782042611.4216259, "env_id": "None"}
r,l,t
217.110153,1222,1.410768
273.490555,1222,4.861389
107.985184,1222,6.155863
83.516281,1222,9.492138
218.423553,1222,12.903451
-10.8293,1222,14.174867
83.253601,1222,17.454865
169.338135,1222,18.683257
127.996719,1222,22.101653
164.614731,1222,25.441811
128.799408,1222,26.804997
10.999924,1222,30.123822
181.574448,1222,31.32921
267.888977,1222,34.637296
123.162918,1222,38.063586
214.915894,1222,39.309488
94.188797,1222,42.68822
50.662064,1222,44.017087
118.115555,1222,47.312637
132.678253,1222,50.624316
